X	Y
-4.12208	-4.78788
-4.12121	-4.78861
-4.08723	-4.81506
-3.9697	-4.90662
-3.96621	-4.90909
-3.81818	-5.01114
-3.78766	-5.0303
-3.66667	-5.10492
-3.58379	-5.15152
-3.51515	-5.18971
-3.38421	-5.25627
-3.36364	-5.26675
-3.35075	-5.27273
-3.21212	-5.33694
-3.07722	-5.39394
-3.06061	-5.40097
-3.04358	-5.40756
-2.90909	-5.45934
-2.76348	-5.51043
-2.75758	-5.51248
-2.74911	-5.51515
-2.60606	-5.56062
-2.51707	-5.58634
-2.45455	-5.60407
-2.32868	-5.63636
-2.30303	-5.643
-2.29131	-5.64574
-2.15152	-5.67741
-2.0827	-5.69142
-2	-5.70752
-1.88646	-5.7272
-1.84848	-5.73339
-1.70077	-5.75453
-1.69697	-5.75503
-1.67447	-5.75758
-1.54545	-5.77226
