X - Plot 0	Y - Plot 0	X - Plot 1	Y - Plot 1	X - Plot 2	Y - Plot 2	X - Plot 3	Y - Plot 3
-2.61852	-2.83852	1.78788	-4.31311	2.83204	-5.87879	3.19406	-7.45455
-2.67958	-2.84848	1.79124	-4.30572	2.83916	-5.87133	3.25126	-7.41313
-2.74343	-2.8598	1.79242	-4.30303	2.84848	-5.86123	3.30303	-7.37464
-2.75758	-2.86153	1.82683	-4.21298	2.90285	-5.80107	3.32944	-7.35446
-2.86106	-2.88691	1.83831	-4.18182	2.94093	-5.75758	3.3564	-7.33333
-2.90909	-2.89638	1.85837	-4.117	2.96491	-5.72951	3.40584	-7.29437
-2.97475	-2.91717	1.8752	-4.06061	3	-5.6871	3.45455	-7.25497
-3.06061	-2.94129	1.88543	-4.01744	3.02495	-5.65633	3.48085	-7.23316
-3.08442	-2.95065	1.9033	-3.93939	3.04065	-5.63636	3.50558	-7.21212
-3.13516	-2.9697	1.90751	-3.91389	3.08271	-5.58132	3.55411	-7.17056
-3.18718	-2.98965	1.92278	-3.81818	3.13173	-5.51515	3.60606	-7.12492
-3.21212	-2.9986	1.92394	-3.80582	3.13894	-5.50509	3.62608	-7.10692
-3.2843	-3.03316	1.93375	-3.69697	3.15152	-5.48702	3.64344	-7.09091
-3.36364	-3.07189	1.93385	-3.69253	3.1926	-5.42681	3.69624	-7.04184
-3.37737	-3.07992	1.93628	-3.57576	3.21437	-5.39394	3.75758	-6.98338
-3.39471	-3.09091	1.93615	-3.57316	3.24433	-5.34698	3.76529	-6.97587
-3.46281	-3.13278	1.93038	-3.45455	3.29032	-5.27273	3.77147	-6.9697
-3.51515	-3.16914	1.92941	-3.44656	3.29441	-5.26583	3.83238	-6.90833
-3.5426	-3.19016	1.91602	-3.33333	3.30303	-5.25087	3.89031	-6.84848
-3.56686	-3.21212	1.91175	-3.31122	3.34173	-5.18247	3.89846	-6.83998
-3.61446	-3.25389	1.89311	-3.21212	3.35875	-5.15152	3.90909	-6.82859
-3.66667	-3.31254	1.88069	-3.16516	3.38702	-5.0975	3.96265	-6.77012
-3.67744	-3.32471	1.86151	-3.09091	3.42121	-5.0303	4.00094	-6.72727
-3.68345	-3.33333	1.83289	-3.0057	3.43047	-5.01104	4.02564	-6.6993
-3.72873	-3.40489	1.82105	-2.9697	3.45455	-4.95956	4.06061	-6.65871
-3.75187	-3.45455	1.78788	-2.88833	3.4715	-4.92265	4.08716	-6.6273
-3.76411	-3.4978	1.77097	-2.84848	3.47756	-4.90909	4.1047	-6.60606
-3.77991	-3.57576	1.75935	-2.82566	3.50982	-4.83209	4.14706	-6.55401
-3.77588	-3.6096	1.71011	-2.72727	3.52784	-4.78788	4.202	-6.48485
-3.76794	-3.69697	1.64148	-2.61015	3.54602	-4.73984	4.2059	-6.47987
-3.73826	-3.76091	1.63912	-2.60606	3.57296	-4.66667	4.21212	-6.47171
-3.71558	-3.81818	1.63636	-2.60191	3.58001	-4.64582	4.26279	-6.40417
-3.66667	-3.88587	1.55473	-2.48485	3.60606	-4.5666	4.29249	-6.36364
-3.61912	-3.93939	1.48485	-2.39634	3.61149	-4.5498	4.31848	-6.32751
-3.51515	-4.03087	1.45755	-2.36364	3.61286	-4.54545	4.36364	-6.26324
-3.47116	-4.06061	1.37719	-2.27751	3.63967	-4.45113	4.3729	-6.24984
-3.36364	-4.12807	1.34468	-2.24242	3.64712	-4.42424	4.37791	-6.24242
